Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P11-s1,P11-s14,11,1,14,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P11-s2,P11-s10,11,2,10,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P11-s3,P11-s15,11,3,15,1,0,0,0,2,2,0,1,1,0,0,0,0,0
P11-s4,P11-s16,11,4,16,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P11-s5,P11-s12,11,5,12,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P11-s6,P11-s13,11,6,13,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P11-s7,P11-s11,11,7,11,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P11-s8,P11-s9,11,8,9,1,1,1,0,2,2,0,0,0,0,0,0,0,1
P11-s9,P11-s8,11,9,8,0,0,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P11-s10,P11-s2,11,10,2,0,0,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P11-s11,P11-s7,11,11,7,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P11-s12,P11-s5,11,12,5,0,1,1,2,0,0,1,0,0,0.4,0.4,2,0,0
P11-s13,P11-s6,11,13,6,0,1,0,2,0,0,2,1,1,0.8,0.2,2,1,0
P11-s14,P11-s1,11,14,1,0,0,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P11-s15,P11-s3,11,15,3,0,1,1,2,0,0,2,0,0,0.8,0.2,1,0,0
P11-s16,P11-s4,11,16,4,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P12-s1,P12-s12,12,1,12,0,0,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P12-s2,P12-s13,12,2,13,0,1,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P12-s3,P12-s9,12,3,9,0,1,0,2,0,0,2,0,0,0.8,0.2,2,0,0
P12-s4,P12-s16,12,4,16,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P12-s5,P12-s14,12,5,14,0,1,0,2,0,0,2,0,1,0.8,0.2,1,0,0
P12-s6,P12-s10,12,6,10,0,0,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P12-s7,P12-s11,12,7,11,0,0,0,2,0,0,2,1,1,0.8,0.2,2,1,0
P12-s8,P12-s15,12,8,15,0,1,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P12-s9,P12-s3,12,9,3,1,0,0,0,2,2,0,0,1,0,0,0,0,0
P12-s10,P12-s6,12,10,6,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P12-s11,P12-s7,12,11,7,1,1,1,0,2,2,0,0,0,0,0,0,0,1
P12-s12,P12-s1,12,12,1,1,1,1,0,2,2,0,0,0,0,0,0,0,1
P12-s13,P12-s2,12,13,2,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P12-s14,P12-s5,12,14,5,1,1,0,0,2,2,0,0,1,0,0,0,0,0
P12-s15,P12-s8,12,15,8,1,0,0,0,2,2,0,0,1,0,0,0,0,0
P12-s16,P12-s4,12,16,4,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P13-s1,P13-s13,13,1,13,1,1,1,0,2,1,0,1,1,0,0,0,0,1
P13-s2,P13-s9,13,2,9,1,1,0,0,2,1,0,1,1,0,0,0,0,1
P13-s3,P13-s11,13,3,11,1,1,0,0,2,1,0,1,1,0,0,0,0,0
P13-s4,P13-s14,13,4,14,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P13-s5,P13-s15,13,5,15,1,1,0,0,1,2,0,0,0,0,0,0,0,0
P13-s6,P13-s10,13,6,10,1,1,0,0,1,2,0,0,0,0,0,0,0,0
P13-s7,P13-s16,13,7,16,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P13-s8,P13-s12,13,8,12,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P13-s9,P13-s2,13,9,2,0,1,1,2,0,0,1,0,1,0.4,0.4,2,1,0
P13-s10,P13-s6,13,10,6,0,0,0,1,0,0,2,0,1,0.2,0.3,1,0,0
P13-s11,P13-s3,13,11,3,0,1,1,2,0,0,1,0,1,0.4,0.4,1,0,0
P13-s12,P13-s8,13,12,8,0,0,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P13-s13,P13-s1,13,13,1,0,1,1,2,0,0,1,1,1,0.4,0.4,2,1,0
P13-s14,P13-s4,13,14,4,0,1,1,2,0,0,1,0,0,0.4,0.4,2,0,0
P13-s15,P13-s5,13,15,5,0,0,0,1,0,0,2,0,1,0.2,0.3,1,0,0
P13-s16,P13-s7,13,16,7,0,1,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P14-s1,P14-s15,14,1,15,0,1,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P14-s2,P14-s12,14,2,12,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P14-s3,P14-s11,14,3,11,0,1,1,1,0,0,1,0,0,0.1,0.2,3,1,0
P14-s4,P14-s10,14,4,10,0,1,0,2,0,0,1,0,0,0.4,0.4,2,1,0
P14-s5,P14-s16,14,5,16,0,1,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P14-s6,P14-s13,14,6,13,0,1,0,2,0,0,1,0,1,0.4,0.4,3,0,0
P14-s7,P14-s14,14,7,14,0,1,1,2,0,0,2,0,0,0.8,0.2,1,0,0
P14-s8,P14-s9,14,8,9,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P14-s9,P14-s8,14,9,8,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P14-s10,P14-s4,14,10,4,1,0,0,0,2,1,0,0,1,0,0,0,0,1
P14-s11,P14-s3,14,11,3,1,0,0,0,1,1,0,1,1,0,0,0,0,1
P14-s12,P14-s2,14,12,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P14-s13,P14-s6,14,13,6,1,1,0,0,2,1,0,0,1,0,0,0,0,0
P14-s14,P14-s7,14,14,7,1,0,0,0,2,2,0,1,1,0,0,0,0,0
P14-s15,P14-s1,14,15,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P14-s16,P14-s5,14,16,5,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P15-s1,P15-s15,15,1,15,1,0,0,0,1,1,0,1,1,0,0,0,0,0
P15-s2,P15-s14,15,2,14,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P15-s3,P15-s10,15,3,10,1,1,1,0,2,1,0,0,0,0,0,0,0,1
P15-s4,P15-s16,15,4,16,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P15-s5,P15-s13,15,5,13,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P15-s6,P15-s11,15,6,11,1,1,1,0,1,2,0,0,0,0,0,0,0,1
P15-s7,P15-s12,15,7,12,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P15-s8,P15-s9,15,8,9,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P15-s9,P15-s8,15,9,8,0,0,0,2,0,0,1,0,1,0.4,0.4,3,0,0
P15-s10,P15-s3,15,10,3,0,0,0,2,0,0,1,1,1,0.4,0.4,1,1,0
P15-s11,P15-s6,15,11,6,0,0,0,1,0,0,2,1,1,0.2,0.3,3,1,0
P15-s12,P15-s7,15,12,7,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P15-s13,P15-s5,15,13,5,0,1,1,2,0,0,1,0,0,0.4,0.4,1,0,0
P15-s14,P15-s2,15,14,2,0,1,0,2,0,0,2,1,1,0.8,0.2,2,1,0
P15-s15,P15-s1,15,15,1,0,1,1,1,0,0,1,0,0,0.1,0.2,1,0,0
P15-s16,P15-s4,15,16,4,0,0,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P16-s1,P16-s14,16,1,14,0,1,1,2,0,0,2,0,1,0.8,0.2,2,1,0
P16-s2,P16-s12,16,2,12,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P16-s3,P16-s16,16,3,16,0,0,0,1,0,0,1,0,0,0.1,0.2,3,1,0
P16-s4,P16-s13,16,4,13,0,1,0,2,0,0,1,0,0,0.4,0.4,3,1,0
P16-s5,P16-s15,16,5,15,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P16-s6,P16-s9,16,6,9,0,1,0,1,0,0,2,0,0,0.2,0.3,2,0,0
P16-s7,P16-s10,16,7,10,0,1,1,2,0,0,1,0,0,0.4,0.4,2,0,0
P16-s8,P16-s11,16,8,11,0,1,0,2,0,0,1,1,1,0.4,0.4,1,1,0
P16-s9,P16-s6,16,9,6,1,0,0,0,1,2,0,0,1,0,0,0,0,0
P16-s10,P16-s7,16,10,7,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P16-s11,P16-s8,16,11,8,1,1,1,0,2,1,0,0,1,0,0,0,0,1
P16-s12,P16-s2,16,12,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P16-s13,P16-s4,16,13,4,1,0,0,0,2,1,0,0,1,0,0,0,0,1
P16-s14,P16-s1,16,14,1,1,1,0,0,2,2,0,1,1,0,0,0,0,1
P16-s15,P16-s5,16,15,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P16-s16,P16-s3,16,16,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1
P17-s1,P17-s9,17,1,9,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P17-s2,P17-s10,17,2,10,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P17-s3,P17-s14,17,3,14,1,1,1,0,2,1,0,0,0,0,0,0,0,1
P17-s4,P17-s12,17,4,12,1,0,0,0,1,2,0,0,1,0,0,0,0,1
P17-s5,P17-s16,17,5,16,1,1,0,0,2,1,0,0,1,0,0,0,0,0
P17-s6,P17-s13,17,6,13,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P17-s7,P17-s15,17,7,15,1,0,0,0,1,1,0,1,0,0,0,0,0,1
P17-s8,P17-s11,17,8,11,1,1,0,0,2,1,0,0,1,0,0,0,0,1
P17-s9,P17-s1,17,9,1,0,1,0,2,0,0,2,1,1,0.8,0.2,2,1,0
P17-s10,P17-s2,17,10,2,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P17-s11,P17-s8,17,11,8,0,1,0,2,0,0,1,0,1,0.4,0.4,2,1,0
P17-s12,P17-s4,17,12,4,0,1,0,1,0,0,2,0,0,0.2,0.3,2,1,0
P17-s13,P17-s6,17,13,6,0,1,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P17-s14,P17-s3,17,14,3,0,0,0,2,0,0,1,1,1,0.4,0.4,1,1,0
P17-s15,P17-s7,17,15,7,0,0,1,1,0,0,1,0,0,0.1,0.2,3,1,0
P17-s16,P17-s5,17,16,5,0,1,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P18-s1,P18-s10,18,1,10,0,0,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P18-s2,P18-s12,18,2,12,0,1,1,2,0,0,1,0,1,0.4,0.4,1,0,0
P18-s3,P18-s14,18,3,14,0,0,0,2,0,0,2,1,1,0.8,0.2,1,0,0
P18-s4,P18-s16,18,4,16,0,0,0,2,0,0,2,0,1,0.8,0.2,2,1,0
P18-s5,P18-s11,18,5,11,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P18-s6,P18-s9,18,6,9,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P18-s7,P18-s15,18,7,15,0,0,1,2,0,0,1,0,0,0.4,0.4,3,0,0
P18-s8,P18-s13,18,8,13,0,1,1,2,0,0,2,1,0,0.8,0.2,2,0,0
P18-s9,P18-s6,18,9,6,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P18-s10,P18-s1,18,10,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P18-s11,P18-s5,18,11,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0
